start.country,start.city,start.latitude,start.longitude,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters
USA,Conover,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,11-12-1899,-81.218693 35.706522 -81.218693 35.706522,7
USA,Spokane,47.65878,-117.426047,DEU,Langen,49.991466,8.663401,12-07-1925,-117.426047 47.65878 -117.426047 47.65878,5
USA,Spokane,47.65878,-117.426047,DEU,Munich,48.135125,11.581981,27-11-1925,-117.426047 47.65878 -117.426047 47.65878,5
USA,Spokane,47.65878,-117.426047,DEU,Munich,48.135125,11.581981,19-01-1926,-117.426047 47.65878 -117.426047 47.65878,5
USA,Spokane,47.65878,-117.426047,DEU,Munich,48.135125,11.581981,24-03-1926,-117.426047 47.65878 -117.426047 47.65878,5
USA,Spokane,47.65878,-117.426047,DEU,Munich,48.135125,11.581981,01-05-1926,-117.426047 47.65878 -117.426047 47.65878,5
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,16-09-1926,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,16-11-1926,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,04-01-1928,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,07-05-1927,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,21-09-1927,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,29-10-1927,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,07-09-1928,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,04-12-1929,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,08-12-1930,-91.666352 44.055391 -91.666352 44.055391,10
USA,Winona,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,29-10-1931,-91.666352 44.055391 -91.666352 44.055391,10
CAN,Dodsland,51.799528,-108.835033,DEU,Munich,48.135125,11.581981,26-10-1926,-108.835033 51.799528 -108.835033 51.799528,2
CAN,Hamilton,43.250021,-79.866091,DEU,Munich,48.135125,11.581981,03-01-1928,-79.866091 43.250021 -79.866091 43.250021,4
CAN,Hamilton,43.250021,-79.866091,DEU,Munich,48.135125,11.581981,23-02-1928,-79.866091 43.250021 -79.866091 43.250021,4
CAN,Hamilton,43.250021,-79.866091,DEU,Munich,48.135125,11.581981,21-07-1928,-79.866091 43.250021 -79.866091 43.250021,4
USA,Milwaukee,43.038903,-87.906474,DEU,Munich,48.135125,11.581981,05-11-1928,-87.906474 43.038903 -87.906474 43.038903,65
USA,Milwaukee,43.038903,-87.906474,DEU,Munich,48.135125,11.581981,26-12-1928,-87.906474 43.038903 -87.906474 43.038903,65
USA,Milwaukee,43.038903,-87.906474,DEU,Munich,48.135125,11.581981,07-01-1929,-87.906474 43.038903 -87.906474 43.038903,65
USA,Milwaukee,43.038903,-87.906474,DEU,Munich,48.135125,11.581981,19-03-1929,-87.906474 43.038903 -87.906474 43.038903,65
USA,Buffalo,42.886447,-78.878369,DEU,Munich,48.135125,11.581981,12-05-1929,-78.878369 42.886447 -78.878369 42.886447,6
CAN,Hamilton,43.250021,-79.866091,DEU,Munich,48.135125,11.581981,10-06-1929,-79.866091 43.250021 -79.866091 43.250021,4
USA,Buffalo,42.886447,-78.878369,DEU,München,48.135125,11.581981,30-06-1929,-78.878369 42.886447 -78.878369 42.886447,6
USA,Buffalo,42.886447,-78.878369,DEU,München,48.135125,11.581981,08-10-1930,-78.878369 42.886447 -78.878369 42.886447,6
USA,Buffalo,42.886447,-78.878369,DEU,München,48.135125,11.581981,19-11-1930,-78.878369 42.886447 -78.878369 42.886447,6
USA,Buffalo,42.886447,-78.878369,DEU,München,48.135125,11.581981,26-12-1930,-78.878369 42.886447 -78.878369 42.886447,6
CAN,Dodsland,51.799528,-108.835033,DEU,München,48.135125,11.581981,15-09-1931,-108.835033 51.799528 -108.835033 51.799528,2
USA,Milwaukee,43.038903,-87.906474,DEU,München,48.135125,11.581981,20-09-1927,-87.906474 43.038903 -87.906474 43.038903,65
USA,Milwaukee,43.038903,-87.906474,DEU,München,48.135125,11.581981,12-05-1927,-87.906474 43.038903 -87.906474 43.038903,65
USA,Milwaukee,43.038903,-87.906474,DEU,München,48.135125,11.581981,21-06-1927,-87.906474 43.038903 -87.906474 43.038903,65
USA,Milwaukee,43.038903,-87.906474,DEU,München,48.135125,11.581981,02-08-1927,-87.906474 43.038903 -87.906474 43.038903,65
USA,Milwaukee,43.038903,-87.906474,DEU,München,48.135125,11.581981,15-12-1930,-87.906474 43.038903 -87.906474 43.038903,65
DEU,Bremen,53.079296,8.801694,DEU,München,48.135125,11.581981,11-04-1927,8.801694 53.079296 8.801694 53.079296,9
USA,Manitowoc,44.088606,-87.657584,DEU,München,48.135125,11.581981,01-12-1924,-87.657584 44.088606 -87.657584 44.088606,2
USA,Manitowoc,44.088606,-87.657584,DEU,München,48.135125,11.581981,26-03-1925,-87.657584 44.088606 -87.657584 44.088606,2
USA,Orange,33.787794,-117.853112,DEU,Ribnitz,54.252211,12.439749,31-12-1873,-117.853112 33.787794 -117.853112 33.787794,1
USA,Cincinnati,39.103118,-84.51202,DEU,Ribnitz,54.252211,12.439749,13-06-1852,-84.51202 39.103118 -84.51202 39.103118,56
USA,Cincinnati,39.103118,-84.51202,DEU,Ribnitz,54.252211,12.439749,05-06-1859,-84.51202 39.103118 -84.51202 39.103118,56
USA,Cincinnati,39.103118,-84.51202,DEU,Ribnitz,54.252211,12.439749,04-05-1854,-84.51202 39.103118 -84.51202 39.103118,56
USA,Cincinnati,39.103118,-84.51202,DEU,Ribnitz,54.252211,12.439749,21-11-1866,-84.51202 39.103118 -84.51202 39.103118,56
USA,Cincinnati,39.103118,-84.51202,DEU,Ribnitz,54.252211,12.439749,25-01-1850,-84.51202 39.103118 -84.51202 39.103118,56
USA,Cincinnati,39.103118,-84.51202,DEU,Ribnitz,54.252211,12.439749,26-01-1851,-84.51202 39.103118 -84.51202 39.103118,56
USA,Cincinnati,39.103118,-84.51202,DEU,Ribnitz,54.252211,12.439749,07-07-1853,-84.51202 39.103118 -84.51202 39.103118,56
USA,Newport,39.091449,-84.495776,DEU,Ribnitz,54.252211,12.439749,14-06-1854,-84.495776 39.091449 -84.495776 39.091449,6
